,row,col,T_SAND,T_SILT,T_CLAY,Soil texture,Root depth,Climate type,IGBP,Root type
3953,181,442,86.0,8.0,6.0,1.0,1.2359807736324342,Dfb,5,5.0
3954,181,443,32.0,49.0,19.0,4.0,1.9836728465705846,Dfb,5,5.0
3955,181,444,86.0,8.0,6.0,1.0,1.70901045243005,Dfb,5,5.0
3956,181,445,86.0,8.0,6.0,1.0,1.6327153429465397,Dfb,5,5.0
3957,181,446,86.0,8.0,6.0,1.0,0.8545052262150534,Dfb,5,5.0
3958,181,447,86.0,8.0,6.0,1.0,0.7019150072480898,Dfb,5,5.0
3959,181,448,86.0,8.0,6.0,1.0,0.3814755474174376,Dfb,5,5.0
3960,181,458,20.0,40.0,40.0,9.0,0.6561379415579722,Dfb,5,5.0
3961,181,459,20.0,40.0,40.0,9.0,0.4959182116426746,Dfb,5,5.0
3962,181,460,20.0,40.0,40.0,9.0,0.8545052262150534,Dfb,5,5.0
3963,181,461,86.0,8.0,6.0,1.0,1.1902037079423735,Dfb,5,5.0
3964,181,462,20.0,40.0,40.0,9.0,0.671396963454697,Dfb,5,5.0
3965,182,224,86.0,8.0,6.0,1.0,1.2283512626841002,Csb,1,4.0
3966,182,225,86.0,8.0,6.0,1.0,2.13626306553752,Csb,1,4.0
3967,182,226,86.0,8.0,6.0,1.0,1.2207217517357662,Csb,1,4.0
3968,182,227,,,,4.0,0.4008375507574922,Csb,12,1.0
3969,182,228,86.0,8.0,6.0,1.0,5.325398641947061,Csb,1,4.0
3970,182,233,37.0,46.0,17.0,4.0,1.0376134889754098,Csb,1,4.0
3971,182,234,37.0,46.0,17.0,4.0,2.4872205691615648,Csb,10,6.0
3972,182,235,86.0,8.0,6.0,1.0,2.5787747005417145,Csb,10,6.0
3973,182,236,86.0,8.0,6.0,1.0,2.548256656748322,Csb,10,6.0
3974,182,237,35.0,54.0,11.0,3.0,2.548256656748322,Csb,1,4.0
3975,182,238,35.0,54.0,11.0,3.0,2.761882963302071,Dsb,1,4.0
3976,182,239,86.0,8.0,6.0,1.0,2.5635156786450466,Dsb,1,4.0
3977,182,240,35.0,54.0,11.0,3.0,2.410925459678083,Csb,1,4.0
3978,182,241,86.0,8.0,6.0,1.0,2.410925459678083,Csb,1,4.0
3979,182,242,86.0,8.0,6.0,1.0,2.655069810025225,Dsb,1,4.0
3980,182,243,86.0,8.0,6.0,1.0,3.5095750362402214,Dsb,1,4.0
3981,182,247,35.0,54.0,11.0,3.0,2.502479591058261,Dsb,10,6.0
3982,182,248,35.0,54.0,11.0,3.0,3.166247043564539,BSk,10,6.0
3983,182,249,35.0,54.0,11.0,3.0,3.425650415808377,BSk,10,6.0
3984,182,250,35.0,54.0,11.0,3.0,3.9368276493477197,BSk,10,6.0
3985,182,251,35.0,54.0,11.0,3.0,2.9526207370107898,BSk,10,6.0
3986,182,252,35.0,54.0,11.0,3.0,3.2959487296864722,Csa,10,6.0
3987,182,253,35.0,54.0,11.0,3.0,2.4414435034714757,Csa,10,6.0
3988,182,254,37.0,46.0,17.0,4.0,3.3875028610666504,Dsb,10,6.0
3989,182,255,37.0,46.0,17.0,4.0,4.112306401159714,Dsb,1,4.0
3990,182,262,37.0,46.0,17.0,4.0,0.9536888685435656,Dfb,1,4.0
3991,182,263,37.0,46.0,17.0,4.0,1.2970168612192197,Dfb,10,6.0
3992,182,264,37.0,46.0,17.0,4.0,1.0681315327688026,Dfc,10,6.0
3993,182,265,86.0,10.0,4.0,1.0,1.1673151750973148,Dfc,10,6.0
3994,182,266,40.0,39.0,21.0,4.0,0.8545052262150534,Dfc,10,6.0
3995,182,267,86.0,10.0,4.0,1.0,1.2207217517357662,Dfc,10,6.0
3996,182,268,86.0,8.0,6.0,1.0,1.1139085984588633,Dfb,10,6.0
3997,182,269,86.0,8.0,6.0,1.0,1.7700465400168355,Dfb,10,6.0
3998,182,270,86.0,8.0,6.0,1.0,2.586404211490077,Dfb,10,6.0
3999,182,271,40.0,39.0,21.0,4.0,2.273594262607787,Dfb,10,6.0
4000,182,272,86.0,8.0,6.0,1.0,1.4343480582895154,Dfb,10,6.0
4001,182,273,86.0,8.0,6.0,1.0,1.2359807736324342,Dfb,10,6.0
4002,182,274,40.0,39.0,21.0,4.0,0.9632342344633957,Dfb,1,4.0
4003,182,275,76.0,16.0,8.0,2.0,0.6561379415579722,Dfb,1,4.0
4004,182,276,76.0,16.0,8.0,2.0,0.4730296787976158,Dfc,1,4.0
4005,182,277,76.0,16.0,8.0,2.0,0.4348821240558891,Dfc,1,4.0
4006,182,279,40.0,39.0,21.0,4.0,0.3814755474174376,Dfc,1,4.0
4007,182,280,40.0,39.0,21.0,4.0,0.36621652552076966,Dfc,1,4.0
4008,182,281,40.0,39.0,21.0,4.0,0.3814755474174376,Dfc,1,4.0
4009,182,282,40.0,39.0,21.0,4.0,1.380941481651064,BSk,10,6.0
4010,182,283,20.0,40.0,40.0,9.0,1.1749446860456487,BSk,10,6.0
4011,182,284,18.0,61.0,21.0,3.0,1.0528725108720778,BSk,10,6.0
4012,182,285,18.0,61.0,21.0,3.0,0.4882887006943406,BSk,10,6.0
4013,182,286,18.0,61.0,21.0,3.0,0.4730296787976158,BWk,10,6.0
4014,182,287,18.0,61.0,21.0,3.0,0.4882887006943406,BWk,10,6.0
4015,182,288,18.0,61.0,21.0,3.0,1.70901045243005,BWk,10,6.0
4016,182,289,75.0,15.0,10.0,2.0,2.4872205691615363,BWk,10,6.0
4017,182,290,40.0,39.0,21.0,4.0,0.6561379415579722,BSk,1,4.0
4018,182,291,40.0,39.0,21.0,4.0,0.6179903868162455,BSk,1,4.0
4019,182,292,20.0,40.0,40.0,9.0,1.2054627298390415,BSk,10,6.0
4020,182,293,20.0,40.0,40.0,9.0,1.5793087663081167,BSk,10,6.0
4021,182,294,50.0,40.0,10.0,4.0,2.8229190508888564,BSk,10,6.0
4022,182,295,86.0,8.0,6.0,1.0,3.1891355764095692,BSk,10,6.0
4023,182,296,86.0,8.0,6.0,1.0,3.204394598306294,BSk,10,6.0
4024,182,297,50.0,40.0,10.0,4.0,1.9836728465705846,BSk,10,6.0
4025,182,298,50.0,40.0,10.0,4.0,1.2893873502708857,BSk,10,6.0
4026,182,299,50.0,40.0,10.0,4.0,1.937895780880467,BSk,10,6.0
4027,182,300,50.0,40.0,10.0,4.0,1.2741283283741893,BSk,10,6.0
