,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,row,col,T_SAND,T_SILT,T_CLAY,Soil texture,Root depth,Climate type,IGBP,Root type,Vcmax25,C4frac,g1,lpx,psi50X,gpmax,C,bexp,bc,R2_VOD,R2_ET,N_VOD,N_ET,obsfilter,lcfilter
309,309,309,309,161,384,40.0,39.0,21.0,4.0,0.7393504743013096,Dfc,5,5.0,55.0,0.0,0.07535824603225832,5.443539282586603,6.687684570665641,0.011938306242258053,8.389221163523558,1.8579121986155434,0.8158653356107346,0.42102231474179874,-0.6442230495271766,711.0,52.0,1,0
310,310,310,310,161,385,40.0,39.0,21.0,4.0,0.8440443189814208,Dfc,5,5.0,55.0,0.0,0.075371318165801,8.660186279206822,12.223377117864565,0.023343954966636368,15.459096646312897,8.955145950620388,0.32039761490651164,0.43630063951097575,-0.34941144980048766,718.0,54.0,1,0
311,311,311,311,161,388,40.0,39.0,21.0,4.0,0.4888312436951045,Dfb,5,5.0,55.0,0.0,0.04087152270497238,0.9713715160068345,6.477385198430394,0.011359426553771687,21.32727363526159,3.7519098812388796,0.5473257373671999,0.38679401098965804,-1.3251809444899707,713.0,51.0,1,0
345,345,345,345,161,426,86.0,8.0,6.0,1.0,0.3662165255207697,Dfc,5,5.0,55.0,0.0,5.784364124193947,0.20085218620534803,0.6469023677449277,6.126061934959127,10.6891419552003,9.344456475372162,0.748607261107686,-0.028122517349876253,-0.1312043131224354,658.0,51.0,1,0
366,366,366,366,162,218,37.0,46.0,17.0,4.0,0.8392462043183286,Cfb,1,4.0,71.1,0.02,7.452084806779017,13.825101138465595,14.460416546161273,5.54368275691459,4.423791371369864,7.725383202985528,0.08862523579867536,0.005049393084389231,-1.361746834343621,1032.0,81.0,1,0
398,398,398,398,162,282,24.0,58.0,18.0,3.0,1.2207217517357662,BSk,10,6.0,62.2,1.18,0.284874927668385,1.262162700452956,4.996249630006495,0.9629961891242247,0.2545469307957465,7.452924077180052,0.8136071638670249,0.32385810318967945,-0.2501358822718356,882.0,74.0,1,0
407,407,407,407,162,291,18.0,61.0,21.0,3.0,1.2207217517357662,BSk,14,1.0,62.2,1.29,0.20798915067485163,1.029423141280014,1.8668998630546245,0.48806165564473053,0.35180552698185064,7.6370479540851965,0.7807372235990666,0.3310848319208508,-0.6402992410890032,860.0,68.0,1,1
408,408,408,408,162,292,18.0,61.0,21.0,3.0,1.1902037079423735,Dfb,14,1.0,62.2,1.13,0.205911732922692,1.0656106717410396,1.8400890084784758,0.33856052321250374,0.2870699836515792,9.888089275159961,0.7720010313726,0.3266096095227462,-0.34829858312295725,866.0,66.0,1,1
416,416,416,416,162,300,18.0,61.0,21.0,3.0,1.3122758831159445,Dfb,14,1.0,62.2,1.21,1.3425223489838323,0.041383085019047944,1.4076945094227389,1.4729347256944945,0.7750812194468738,9.152005013233294,0.8675721643813054,0.31912670339465243,-0.04930566147971227,778.0,61.0,1,1
448,448,448,448,162,332,86.0,8.0,6.0,1.0,0.6375897527191228,Dfb,12,1.0,54.0,1.35,5.3507767075472845,1.0052245445528813,6.016173858730281,2.5341722958475668,4.832931422526368,8.830399175679641,0.34930690662829805,0.2532438868096538,-1.9312095052579616,779.0,57.0,1,0
456,456,456,456,162,346,86.0,8.0,6.0,1.0,1.1834049659639505,Dfb,1,4.0,71.1,0.16,9.800447596827077,1.2404589091552713,5.095762047273188,0.008267245311339965,18.155816293092595,9.548261118179298,0.20936247399313532,0.5539418995581413,-1.2453087596087404,679.0,55.0,1,0
458,458,458,458,162,348,42.0,34.0,24.0,4.0,0.9393114790231326,Dfb,1,4.0,71.1,0.0,9.95711605721928,14.44288701784253,14.96375769418733,6.629338518120175,1.362369146183651,9.45239337543983,0.1692251217078503,0.43981765134832596,-0.5224529656419785,543.0,51.0,1,0
459,459,459,459,162,349,86.0,8.0,6.0,1.0,1.0199299780440103,Dfb,1,4.0,71.1,0.0,9.912547452972,14.687340081702356,14.939900880525878,9.784478179218612,6.40185320305941,4.825194845676074,0.34418972579095064,-3.9968028886505635e-15,-2.1032077282958093,631.0,52.0,1,0
493,493,493,493,162,389,40.0,39.0,21.0,4.0,0.9963124030416762,Dfb,5,5.0,55.0,0.0,0.0434238660363162,2.0325892508779435,7.770597826975684,0.003754366532782708,13.45496200440113,2.033590491990333,0.7722859606264607,0.4837458071594718,-0.6025340005728406,724.0,54.0,1,0
513,513,513,513,162,409,86.0,8.0,6.0,1.0,0.4268626603257442,Dfc,5,5.0,55.0,0.04,4.37267336379847,1.1359028187773859,6.462823043978406,5.083334065506789,3.3857223852719454,9.452867148326291,0.5819911240400859,0.41273190105748025,-0.3759051105070974,701.0,46.0,1,0
576,576,576,576,163,282,32.0,49.0,19.0,4.0,1.9378957808804669,BSk,10,6.0,62.2,1.18,0.4062239226911597,0.5468948603449061,2.4928720768609143,5.7647452205652225,1.5953605737853116,9.59760001885164,0.8042653517173483,0.147070636840126,-0.0614153599420848,887.0,73.0,1,0
585,585,585,585,163,291,20.0,40.0,40.0,9.0,1.1444266422522558,BSk,10,6.0,62.2,1.29,8.255198529281888,4.955502817878079,9.477932422285173,4.930434084994959,1.5800410939686493,7.464990906247784,0.27209903285168646,0.07713672124083815,-0.03772129805417612,859.0,67.0,1,0
