,index,Unnamed: 0,row,col,T_SAND,T_SILT,T_CLAY,Soil texture,Root depth,Climate type,IGBP,Root type,Vcmax25
435,8696,8696,123,780,31.0,22.0,47.0,10.0,0.6103608758679115,Dfb,1,4.0,71.1
436,8713,8713,123,845,42.0,36.0,22.0,4.0,0.6561379415579722,Dfb,5,5.0,55.0
437,8726,8726,123,861,35.0,43.0,22.0,4.0,0.3356984817273769,Dfb,1,4.0,71.1
438,8734,8734,123,869,42.0,34.0,24.0,4.0,0.6018666870120788,Dfb,1,4.0,71.1
439,8737,8737,123,877,19.0,32.0,49.0,10.0,1.7013809414816876,Dfb,5,5.0,55.0
440,8744,8744,123,982,42.0,37.0,21.0,4.0,0.6486440663598372,Dfc,5,5.0,55.0
441,8746,8746,123,984,42.0,38.0,20.0,4.0,0.547018980527842,Dfc,5,5.0,55.0
442,8750,8750,123,988,89.0,6.0,5.0,0.0,0.24173681578127215,Dfc,7,3.0,54.0
443,8757,8757,123,995,37.0,42.0,21.0,4.0,1.1414426557480328,Dfc,5,5.0,55.0
444,8791,8791,123,1030,41.0,36.0,23.0,4.0,0.6370811186558978,Dfc,5,5.0,55.0
445,8819,8819,123,1059,19.0,32.0,49.0,10.0,0.3139798072277397,Dfc,5,5.0,55.0
446,8820,8820,123,1060,42.0,38.0,20.0,4.0,0.8087281605249359,Dfc,5,5.0,55.0
447,8826,8826,123,1066,39.0,40.0,21.0,4.0,0.37037037037042103,Dfc,5,5.0,55.0
448,8832,8832,123,1072,42.0,38.0,20.0,4.0,0.3370039758229801,Dfc,5,5.0,55.0
449,8834,8834,123,1074,42.0,38.0,20.0,4.0,0.6542899044616182,Dfc,5,5.0,55.0
450,8837,8837,124,94,76.0,16.0,8.0,2.0,0.4195213753465541,Dfc,10,6.0,62.2
451,8838,8838,124,193,18.0,61.0,21.0,3.0,0.2556733891135843,Dfc,1,4.0,71.1
452,8845,8845,124,241,37.0,46.0,17.0,4.0,0.9450420894687755,Dfc,1,4.0,71.1
453,8848,8848,124,244,37.0,46.0,17.0,4.0,0.9025880996584114,Dfc,5,5.0,55.0
454,8853,8853,124,258,40.0,39.0,21.0,4.0,0.3966158880327358,Dfc,7,3.0,54.0
455,8862,8862,124,268,40.0,39.0,21.0,4.0,0.5689241541839871,Dfc,1,4.0,71.1
456,8867,8867,124,291,73.0,18.0,9.0,2.0,0.26581216144050074,Dfc,1,4.0,71.1
457,8878,8878,124,304,37.0,46.0,17.0,4.0,0.20211422225618164,Dfc,1,4.0,71.1
458,8882,8882,124,746,39.0,39.0,22.0,4.0,0.27052550375970025,Dfc,7,3.0,54.0
459,8908,8908,124,840,74.0,21.0,5.0,2.0,0.3814755474174376,Dfb,1,4.0,71.1
460,8923,8923,124,858,42.0,34.0,24.0,4.0,0.5574968422302398,Dfb,1,4.0,71.1
461,8927,8927,124,862,90.0,5.0,5.0,0.0,0.4196231021591928,Dfb,1,4.0,71.1
462,8932,8932,124,867,35.0,43.0,22.0,4.0,0.6734145452388094,Dfb,1,4.0,71.1
463,8937,8937,124,979,19.0,32.0,49.0,10.0,0.468384154353534,Dfc,5,5.0,55.0
464,8949,8949,124,991,41.0,36.0,23.0,4.0,0.6317574154608285,Dfc,5,5.0,55.0
465,8955,8955,124,999,34.0,48.0,18.0,4.0,0.5570899349796592,Dfc,5,5.0,55.0
466,8977,8977,124,1021,48.0,40.0,12.0,4.0,0.2748488932971002,Dfc,1,4.0,71.1
467,8979,8979,124,1023,19.0,32.0,49.0,10.0,0.35082186787387465,Dfc,5,5.0,55.0
468,9003,9003,124,1047,37.0,42.0,21.0,4.0,0.3814755474174376,Dfc,5,5.0,55.0
469,9007,9007,124,1051,48.0,40.0,12.0,4.0,0.4004136890381371,Dfc,5,5.0,55.0
470,9034,9034,124,1127,87.0,9.0,4.0,1.0,0.5050736247807003,Dfc,5,5.0,55.0
471,9037,9037,124,1283,42.0,38.0,20.0,4.0,0.382424997668809,Dfc,7,3.0,54.0
472,9041,9041,125,196,18.0,61.0,21.0,3.0,0.2286479658876586,Dsc,1,4.0,71.1
473,9052,9052,125,257,86.0,10.0,4.0,1.0,1.007095445182017,Dfc,5,5.0,55.0
474,9095,9095,125,747,39.0,39.0,22.0,4.0,0.3814755474174376,Dfc,7,3.0,54.0
475,9104,9104,125,821,32.0,49.0,19.0,4.0,0.6561379415579722,Dfb,5,5.0,55.0
476,9109,9109,125,826,47.0,29.0,24.0,4.0,0.7705806057832092,Dfb,5,5.0,55.0
477,9112,9112,125,838,28.0,47.0,25.0,4.0,0.7248035400931201,Dfb,5,5.0,55.0
478,9127,9127,125,858,12.0,46.0,42.0,9.0,0.4272526131075551,Dfb,5,5.0,55.0
479,9135,9135,125,877,42.0,38.0,20.0,4.0,1.8005645838102282,Dfb,5,5.0,55.0
480,9147,9147,125,984,42.0,37.0,21.0,4.0,0.5547163093512868,Dfc,5,5.0,55.0
481,9155,9155,125,992,89.0,6.0,5.0,0.0,0.5811652806388931,Dfc,5,5.0,55.0
482,9168,9168,125,1007,34.0,48.0,18.0,4.0,0.4252689402609788,Dfc,5,5.0,55.0
483,9177,9177,125,1016,34.0,48.0,18.0,4.0,0.2623704042793608,Dfc,5,5.0,55.0
484,9211,9211,125,1055,48.0,40.0,12.0,4.0,0.28932800963018884,Dfc,5,5.0,55.0
485,9213,9213,125,1057,48.0,40.0,12.0,4.0,0.4058560735146274,Dfc,5,5.0,55.0
486,9224,9224,125,1068,90.0,5.0,5.0,0.0,0.7629510948348468,Dfc,5,5.0,55.0
487,9231,9231,125,1131,42.0,38.0,20.0,4.0,0.5352356247298365,Dfc,5,5.0,55.0
488,9246,9246,126,256,37.0,46.0,17.0,4.0,0.6408789196613043,Dfb,5,5.0,55.0
489,9264,9264,126,284,73.0,18.0,9.0,2.0,0.3686240600866864,Dfc,1,4.0,71.1
490,9266,9266,126,286,73.0,18.0,9.0,2.0,0.32055814111209385,Dfc,1,4.0,71.1
491,9267,9267,126,287,73.0,18.0,9.0,2.0,0.4591948322779658,Dfc,1,4.0,71.1
492,9299,9299,126,781,41.0,36.0,23.0,4.0,0.4730296787976158,Dfb,12,1.0,54.0
493,9303,9303,126,785,47.0,34.0,19.0,4.0,0.8392462043183286,Dfb,1,4.0,71.1
494,9323,9323,126,877,41.0,37.0,22.0,4.0,1.2436102845807966,Dfb,5,5.0,55.0
495,9355,9355,126,1001,48.0,40.0,12.0,4.0,0.6564600764647013,Dfc,5,5.0,55.0
496,9356,9356,126,1002,48.0,40.0,12.0,4.0,0.4915778676365111,Dfc,5,5.0,55.0
497,9368,9368,126,1014,23.0,29.0,48.0,10.0,0.2092181446725348,Dfc,5,5.0,55.0
498,9388,9388,126,1048,12.0,36.0,52.0,10.0,0.4308130515501107,Dfc,5,5.0,55.0
499,9390,9390,126,1050,37.0,42.0,21.0,4.0,0.8995362952790721,Dfc,10,6.0,62.2
500,9393,9393,126,1054,48.0,40.0,12.0,4.0,0.5427803633343149,Dfc,5,5.0,55.0
501,9400,9400,126,1061,48.0,40.0,12.0,4.0,0.7175978908641287,Dfc,5,5.0,55.0
502,9402,9402,126,1063,10.0,43.0,47.0,9.0,0.4784890177429002,Dfc,5,5.0,55.0
503,9404,9404,126,1131,87.0,9.0,4.0,1.0,0.3814755474174376,Dfc,5,5.0,55.0
504,9409,9409,127,252,20.0,40.0,40.0,9.0,0.8152895399405369,Dfc,5,5.0,55.0
505,9421,9421,127,272,86.0,8.0,6.0,1.0,0.6637674525063346,Dfc,5,5.0,55.0
506,9425,9425,127,276,20.0,40.0,40.0,9.0,0.6256198977645795,Dfc,1,4.0,71.1
507,9451,9451,127,316,37.0,46.0,17.0,4.0,0.1809041818197758,Dfc,7,3.0,54.0
508,9470,9470,127,820,20.0,40.0,40.0,9.0,1.6784924086366573,Dfb,5,5.0,55.0
509,9475,9475,127,826,35.0,54.0,11.0,3.0,1.9836728465705848,Dfb,5,5.0,55.0
510,9476,9476,127,827,20.0,40.0,40.0,9.0,1.70901045243005,Dfb,5,5.0,55.0
