,Unnamed: 0,row,col,T_SAND,T_SILT,T_CLAY,Soil texture,Root depth,Climate type,IGBP,Root type,Vcmax25
10920,10920,223,364,40.0,39.0,21.0,4.0,1.953154802777192,Cfa,14,1.0,62.2
10921,10921,223,365,26.0,63.0,11.0,3.0,0.7171740291447577,Cfa,14,1.0,62.2
10922,10922,223,366,26.0,63.0,11.0,3.0,2.8534370946822776,Cfa,4,5.0,55.0
10923,10923,223,371,86.0,8.0,6.0,1.0,3.204394598306294,Cfa,14,1.0,62.2
10924,10924,223,372,86.0,8.0,6.0,1.0,4.074158846417959,Cfa,14,1.0,62.2
10925,10925,223,373,86.0,8.0,6.0,1.0,5.065995269703251,Cfa,14,1.0,62.2
10926,10926,223,374,86.0,8.0,6.0,1.0,3.982604715037781,Cfa,14,1.0,62.2
10927,10927,223,375,86.0,8.0,6.0,1.0,4.013122758831173,Cfa,14,1.0,62.2
10928,10928,223,376,86.0,8.0,6.0,1.0,2.8686961165789735,Cfa,14,1.0,62.2
10929,10929,223,377,86.0,8.0,6.0,1.0,3.198969168298577,Cfa,14,1.0,62.2
10930,10930,223,378,86.0,8.0,6.0,1.0,5.004959182116465,Cfa,4,5.0,55.0
10931,10931,223,379,86.0,8.0,6.0,1.0,4.9897001602197415,Cfa,4,5.0,55.0
10932,10932,223,380,26.0,63.0,11.0,3.0,2.5024795910582607,Cfa,4,5.0,55.0
10933,10933,223,381,86.0,8.0,6.0,1.0,3.035578952722509,Cfa,5,5.0,55.0
10934,10934,223,382,86.0,8.0,6.0,1.0,4.001322448564421,Cfa,13,-1.0,54.0
10935,10935,223,383,86.0,8.0,6.0,1.0,2.667972160762317,Cfa,13,-1.0,54.0
10936,10936,223,384,,,,4.0,3.2501716639963547,Cfa,8,9.0,54.0
10937,10937,223,385,,,,4.0,4.013122758831173,Cfa,8,9.0,54.0
10938,10938,223,386,,,,4.0,4.470893415732063,Cfa,4,5.0,55.0
10939,10939,223,387,86.0,8.0,6.0,1.0,4.455634393835397,Cfa,4,5.0,55.0
10940,10940,223,388,86.0,8.0,6.0,1.0,4.020752269779536,Cfa,5,5.0,55.0
10941,10941,223,389,,,,4.0,0.8163576714732983,Cfa,5,5.0,55.0
10942,10942,223,390,,,,4.0,6.9581139848936,Cfa,5,5.0,55.0
10943,10943,223,391,86.0,8.0,6.0,1.0,6.225680933852174,Cfa,5,5.0,55.0
10944,10944,223,392,86.0,8.0,6.0,1.0,4.60822461280236,Cfa,5,5.0,55.0
10945,10945,223,393,86.0,8.0,6.0,1.0,4.592965590905635,Cfa,8,9.0,54.0
10946,10946,223,394,86.0,8.0,6.0,1.0,1.930266269932133,Cfa,17,-1.0,54.0
10947,10947,223,395,86.0,8.0,6.0,1.0,0.6408789196613043,Cfa,13,-1.0,54.0
10948,10948,223,396,86.0,8.0,6.0,1.0,0.6408789196613043,Cfa,5,5.0,55.0
10949,10949,223,397,86.0,8.0,6.0,1.0,0.8239871824216607,Cfa,5,5.0,55.0
10950,10950,223,398,86.0,10.0,4.0,1.0,0.6408789196613043,Cfa,14,1.0,62.2
10951,10951,223,399,86.0,8.0,6.0,1.0,0.7397743360206669,Cfa,14,1.0,62.2
10952,10952,223,400,86.0,10.0,4.0,1.0,0.8564888990616194,Cfa,14,1.0,62.2
10953,10953,223,401,86.0,10.0,4.0,1.0,0.3662165255207697,Cfa,14,1.0,62.2
10954,10954,223,402,86.0,10.0,4.0,1.0,0.22941091698249905,Cfa,14,1.0,62.2
10955,10955,223,403,86.0,8.0,6.0,1.0,0.3309342760018517,Cfa,14,1.0,62.2
10956,10956,223,404,86.0,8.0,6.0,1.0,0.35195781728174397,Cfa,14,1.0,62.2
10957,10957,223,405,86.0,8.0,6.0,1.0,0.42047082559791066,Cfa,14,1.0,62.2
10958,10958,223,406,37.0,24.0,39.0,7.0,0.7098157896968192,Cfa,2,5.0,35.5
10959,10959,223,407,86.0,8.0,6.0,1.0,0.4654001678492818,Cfa,2,5.0,35.5
10960,10960,224,250,37.0,46.0,17.0,4.0,5.210955977721851,Csa,7,3.0,54.0
10961,10961,224,251,86.0,8.0,6.0,1.0,5.386434729533875,Csa,7,3.0,54.0
10962,10962,224,252,86.0,8.0,6.0,1.0,5.485618371862387,Csa,7,3.0,54.0
10963,10963,224,253,26.0,63.0,11.0,3.0,3.517204547188556,Csa,7,3.0,54.0
10964,10964,224,254,26.0,63.0,11.0,3.0,1.5182726787213312,BWh,7,3.0,54.0
10965,10965,224,255,26.0,63.0,11.0,3.0,1.602197299153147,BWh,7,3.0,54.0
10966,10966,224,256,26.0,63.0,11.0,3.0,1.7547875181201107,BWh,7,3.0,54.0
10967,10967,224,257,26.0,63.0,11.0,3.0,1.3733119707027301,BWh,7,3.0,54.0
10968,10968,224,258,26.0,63.0,11.0,3.0,0.970507701567488,BWh,16,-1.0,54.0
10969,10969,224,259,26.0,63.0,11.0,3.0,0.55848020141914,BWh,16,-1.0,54.0
10970,10970,224,260,26.0,63.0,11.0,3.0,0.6866559853513651,BWh,7,3.0,54.0
10971,10971,224,261,26.0,63.0,11.0,3.0,0.8545052262150534,BWh,7,3.0,54.0
10972,10972,224,262,26.0,63.0,11.0,3.0,0.8850232700084462,BWh,7,3.0,54.0
10973,10973,224,263,26.0,63.0,11.0,3.0,1.5411612115663615,BWh,7,3.0,54.0
10974,10974,224,264,26.0,63.0,11.0,3.0,2.0752269779507633,BWh,7,3.0,54.0
10975,10975,224,265,26.0,63.0,11.0,3.0,2.6932173647669515,BWh,7,3.0,54.0
10976,10976,224,266,26.0,63.0,11.0,3.0,4.257267109178315,BWh,7,3.0,54.0
10977,10977,224,267,26.0,63.0,11.0,3.0,5.508506904707417,BWh,7,3.0,54.0
10978,10978,224,268,26.0,63.0,11.0,3.0,4.242008087281647,BSh,7,3.0,54.0
10979,10979,224,269,26.0,63.0,11.0,3.0,4.0588998245212915,BSh,7,3.0,54.0
10980,10980,224,270,26.0,63.0,11.0,3.0,3.7232013427939705,BSh,7,3.0,54.0
10981,10981,224,271,26.0,63.0,11.0,3.0,3.3112077515831397,BSh,7,3.0,54.0
10982,10982,224,272,37.0,46.0,17.0,4.0,3.463797970550104,BSh,7,3.0,54.0
10983,10983,224,273,26.0,63.0,11.0,3.0,3.700312809948912,BSh,7,3.0,54.0
10984,10984,224,274,37.0,46.0,17.0,4.0,3.62401770046543,BSk,7,3.0,54.0
10985,10985,224,275,37.0,46.0,17.0,4.0,3.631647211413792,BSk,1,4.0,71.1
10986,10986,224,276,37.0,46.0,17.0,4.0,3.0670634012359983,Csa,1,4.0,71.1
10987,10987,224,277,37.0,46.0,17.0,4.0,3.0518043793393304,Csa,1,4.0,71.1
10988,10988,224,278,37.0,46.0,17.0,4.0,3.440909437705073,Csa,5,5.0,55.0
10989,10989,224,279,37.0,46.0,17.0,4.0,3.64690623331046,Csa,1,4.0,71.1
10990,10990,224,280,37.0,46.0,17.0,4.0,4.074158846417959,Csb,1,4.0,71.1
10991,10991,224,281,37.0,46.0,17.0,4.0,3.692683299000578,Csb,1,4.0,71.1
10992,10992,224,282,37.0,46.0,17.0,4.0,3.990234225986143,Csb,1,4.0,71.1
10993,10993,224,283,37.0,46.0,17.0,4.0,3.929198138399357,Csb,1,4.0,71.1
10994,10994,224,284,37.0,46.0,17.0,4.0,3.7842374303807564,Csb,7,3.0,54.0
10995,10995,224,285,37.0,46.0,17.0,4.0,3.95971618219275,Csb,7,3.0,54.0
10996,10996,224,286,37.0,46.0,17.0,4.0,3.4485389486534364,BSk,7,3.0,54.0
10997,10997,224,287,86.0,10.0,4.0,1.0,4.12756542305641,BSk,10,6.0,62.2
